qid,query,truth_ids,retrieved_ids,mrr,recall@1,recall@3,recall@5,recall@10,recall@30,lat_embed_ms,lat_retrieve_ms,lat_total_ms
q001,What is Retrieval-Augmented Generation (RAG) and what are the main stages of its pipeline?,['rag_overview_definition_and_pipeline.md#0'],"['rag_retrieval_vs_generation_failure_modes.md#0', 'rag_overview_definition_andipeline.md#0', 'rag_overview_definition_andipeline.md#5', 'rag_overview_definition_andipeline.md#1', 'rag_overview_definition_andipeline.md#3', 'rag_overview_definition_andipeline.md#4', 'rag_overview_definition_andipeline.md#2', 'rag_retrieval_vs_generation_failure_modes.md#1', 'rag_retrieval_vs_generation_failure_modes.md#6', 'rag_retrieval_vs_generation_failure_modes.md#3', 'rag_retrieval_vs_generation_failure_modes.md#4', 'rag_retrieval_vs_generation_failure_modes.md#2', 'rag_retrieval_vs_generation_failure_modes.md#8', 'rag_retrieval_vs_generation_failure_modes.md#5', 'rag_retrieval_vs_generation_failure_modes.md#9', 'rag_retrieval_vs_generation_failure_modes.md#7', 'rag_retrieval_vs_generation_failure_modes.md#53', 'rag_retrieval_vs_generation_failure_modes.md#12', 'rag_retrieval_vs_generation_failure_modes.md#11', 'rag_retrieval_vs_generation_failure_modes.md#54', 'rag_retrieval_vs_generation_failure_modes.md#52', 'rag_retrieval_vs_generation_failure_modes.md#57', 'rag_retrieval_vs_generation_failure_modes.md#56', 'rag_retrieval_vs_generation_failure_modes.md#62', 'rag_retrieval_vs_generation_failure_modes.md#59', 'rag_retrieval_vs_generation_failure_modes.md#50', 'rag_retrieval_vs_generation_failure_modes.md#61', 'rag_retrieval_vs_generation_failure_modes.md#55', 'rag_retrieval_vs_generation_failure_modes.md#23', 'rag_retrieval_vs_generation_failure_modes.md#60']",0.0,0.0,0.0,0.0,0.0,0.0,124.6064999140799,38.443708093836904,163.05024991743267
q002,How does RAG differ from pure generation and pure retrieval systems?,['rag_overview_definition_and_pipeline.md#0'],"['rag_overview_definition_andipeline.md#0', 'rag_retrieval_vs_generation_failure_modes.md#0', 'rag_evaluation_overview_metrics_and_protocols.md#7', 'rag_evaluation_overview_metrics_and_protocols.md#6', 'benchmarking_rag_load_testing_and_experiment_design.md#0', 'rag_evaluation_overview_metrics_and_protocols.md#5', 'benchmarking_rag_load_testing_and_experiment_design.md#2', 'rag_overview_definition_andipeline.md#1', 'embeddings_vector_dimensions_and_storage_costs.md#41', 'observability_rag_tracing_logging_latency_breakdown.md#7', 'benchmarking_rag_load_testing_and_experiment_design.md#3', 'benchmarking_rag_load_testing_and_experiment_design.md#1', 'embeddings_vector_dimensions_and_storage_costs.md#40', 'benchmarking_rag_load_testing_and_experiment_design.md#12', 'rag_retrieval_vs_generation_failure_modes.md#1', 'benchmarking_rag_load_testing_and_experiment_design.md#11', 'rag_hallucinations_and_grounding_methods.md#15', 'observability_rag_tracing_logging_latency_breakdown.md#5', 'caching_strategies_embedding_cache_retrieval_cache.md#24', 'rag_evaluation_overview_metrics_and_protocols.md#3', 'caching_strategies_embedding_cache_retrieval_cache.md#23', 'embeddings_vector_dimensions_and_storage_costs.md#64', 'benchmarking_rag_load_testing_and_experiment_design.md#4', 'embeddings_vector_dimensions_and_storage_costs.md#53', 'rag_overview_definition_andipeline.md#2', 'embeddings_vector_dimensions_and_storage_costs.md#67', 'embeddings_vector_dimensions_and_storage_costs.md#54', 'embeddings_vector_dimensions_and_storage_costs.md#63', 'rag_evaluation_overview_metrics_and_protocols.md#4', 'rag_evaluation_overview_metrics_and_protocols.md#0']",0.0,0.0,0.0,0.0,0.0,0.0,30.1058329641819,4.801374860107899,34.90729094482958
q003,What are common failure modes in RAG systems?,['rag_retrieval_vs_generation_failure_modes.md#0'],"['rag_retrieval_vs_generation_failure_modes.md#0', 'rag_retrieval_vs_generation_failure_modes.md#1', 'rag_retrieval_vs_generation_failure_modes.md#3', 'rag_retrieval_vs_generation_failure_modes.md#4', 'rag_retrieval_vs_generation_failure_modes.md#2', 'observability_rag_tracing_logging_latency_breakdown.md#5', 'rag_evaluation_overview_metrics_and_protocols.md#7', 'rag_evaluation_overview_metrics_and_protocols.md#6', 'rag_hallucinations_and_grounding_methods.md#15', 'rag_overview_definition_andipeline.md#0', 'caching_strategies_embedding_cache_retrieval_cache.md#23', 'rag_hallucinations_and_grounding_methods.md#14', 'caching_strategies_embedding_cache_retrieval_cache.md#24', 'observability_rag_tracing_logging_latency_breakdown.md#3', 'distributed_rag_architectures_multi_index_routing.md#2', 'distributed_rag_architectures_multi_index_routing.md#0', 'benchmarking_rag_load_testing_and_experiment_design.md#12', 'benchmarking_rag_load_testing_and_experiment_design.md#14', 'rag_evaluation_overview_metrics_and_protocols.md#5', 'benchmarking_rag_load_testing_and_experiment_design.md#15', 'benchmarking_rag_load_testing_and_experiment_design.md#11', 'observability_rag_tracing_logging_latency_breakdown.md#207', 'benchmarking_rag_load_testing_and_experiment_design.md#0', 'vector_db_consistency_durability_and_snapshots.md#174', 'benchmarking_rag_load_testing_and_experiment_design.md#17', 'observability_rag_tracing_logging_latency_breakdown.md#1', 'rag_evaluation_overview_metrics_and_protocols.md#0', 'benchmarking_rag_load_testing_and_experiment_design.md#3', 'distributed_rag_architectures_multi_index_routing.md#1', 'observability_rag_tracing_logging_latency_breakdown.md#4']",1.0,1.0,1.0,1.0,1.0,1.0,27.107917005196214,5.294667091220617,32.40270912647247
q004,Why can RAG still hallucinate and what grounding techniques help reduce hallucinations?,['rag_hallucinations_and_grounding_methods.md#0'],"['rag_hallucinations_and_grounding_methods.md#15', 'rag_hallucinations_and_grounding_methods.md#14', 'rag_retrieval_vs_generation_failure_modes.md#239', 'rag_retrieval_vs_generation_failure_modes.md#240', 'rag_retrieval_vs_generation_failure_modes.md#0', 'rag_retrieval_vs_generation_failure_modes.md#269', 'rag_hallucinations_and_grounding_methods.md#12', 'rag_retrieval_vs_generation_failure_modes.md#212', 'rag_retrieval_vs_generation_failure_modes.md#231', 'rag_retrieval_vs_generation_failure_modes.md#228', 'rag_retrieval_vs_generation_failure_modes.md#249', 'rag_retrieval_vs_generation_failure_modes.md#229', 'rag_hallucinations_and_grounding_methods.md#13', 'rag_retrieval_vs_generation_failure_modes.md#238', 'rag_retrieval_vs_generation_failure_modes.md#230', 'rag_retrieval_vs_generation_failure_modes.md#227', 'rag_hallucinations_and_grounding_methods.md#11', 'rag_retrieval_vs_generation_failure_modes.md#252', 'rag_retrieval_vs_generation_failure_modes.md#251', 'rag_retrieval_vs_generation_failure_modes.md#253', 'rag_retrieval_vs_generation_failure_modes.md#268', 'rag_retrieval_vs_generation_failure_modes.md#250', 'rag_retrieval_vs_generation_failure_modes.md#246', 'rag_retrieval_vs_generation_failure_modes.md#207', 'rag_retrieval_vs_generation_failure_modes.md#242', 'rag_retrieval_vs_generation_failure_modes.md#257', 'rag_retrieval_vs_generation_failure_modes.md#226', 'rag_retrieval_vs_generation_failure_modes.md#225', 'rag_retrieval_vs_generation_failure_modes.md#232', 'rag_retrieval_vs_generation_failure_modes.md#217']",0.0,0.0,0.0,0.0,0.0,0.0,26.467666029930115,4.511791979894042,30.979541828855872
q005,How should you budget the context window when building prompts for RAG?,['rag_context_window_budgeting_strategies.md#0'],"['rag_context_window_budgeting_strategies.md#0', 'rag_context_window_budgeting_strategies.md#2', 'rag_context_window_budgeting_strategies.md#1', 'rag_context_window_budgeting_strategies.md#8', 'rag_context_window_budgeting_strategies.md#7', 'rag_context_window_budgeting_strategies.md#3', 'rag_context_window_budgeting_strategies.md#4', 'rag_context_window_budgeting_strategies.md#6', 'rag_context_window_budgeting_strategies.md#5', 'chunking_overlap_tradeoffs_and_guidelines.md#188', 'chunking_overlap_tradeoffs_and_guidelines.md#187', 'chunking_overlap_tradeoffs_and_guidelines.md#165', 'chunking_overlap_tradeoffs_and_guidelines.md#171', 'chunking_overlap_tradeoffs_and_guidelines.md#166', 'chunking_overlap_tradeoffs_and_guidelines.md#153', 'distributed_rag_architectures_multi_index_routing.md#2', 'chunking_overlap_tradeoffs_and_guidelines.md#164', 'chunking_overlap_tradeoffs_and_guidelines.md#167', 'chunking_overlap_tradeoffs_and_guidelines.md#174', 'distributed_rag_architectures_multi_index_routing.md#1', 'distributed_rag_architectures_multi_index_routing.md#4', 'chunking_overlap_tradeoffs_and_guidelines.md#186', 'chunking_overlap_tradeoffs_and_guidelines.md#173', 'chunking_overlap_tradeoffs_and_guidelines.md#190', 'rag_overview_definition_andipeline.md#265', 'chunking_overlap_tradeoffs_and_guidelines.md#175', 'distributed_rag_architectures_multi_index_routing.md#0', 'chunking_overlap_tradeoffs_and_guidelines.md#185', 'rag_retrieval_vs_generation_failure_modes.md#0', 'chunking_overlap_tradeoffs_and_guidelines.md#196']",1.0,1.0,1.0,1.0,1.0,1.0,25.73041687719524,8.326458046212792,34.056958043947816
q006,What is a standard evaluation protocol for RAG experiments?,['rag_evaluation_overview_metrics_and_protocols.md#0'],"['rag_retrieval_vs_generation_failure_modes.md#0', 'benchmarking_rag_load_testing_and_experiment_design.md#238', 'benchmarking_rag_load_testing_and_experiment_design.md#229', 'rag_overview_definition_andipeline.md#0', 'benchmarking_rag_load_testing_and_experiment_design.md#236', 'benchmarking_rag_load_testing_and_experiment_design.md#231', 'benchmarking_rag_load_testing_and_experiment_design.md#230', 'benchmarking_rag_load_testing_and_experiment_design.md#234', 'benchmarking_rag_load_testing_and_experiment_design.md#11', 'benchmarking_rag_load_testing_and_experiment_design.md#0', 'benchmarking_rag_load_testing_and_experiment_design.md#12', 'benchmarking_rag_load_testing_and_experiment_design.md#241', 'benchmarking_rag_load_testing_and_experiment_design.md#235', 'benchmarking_rag_load_testing_and_experiment_design.md#233', 'benchmarking_rag_load_testing_and_experiment_design.md#232', 'benchmarking_rag_load_testing_and_experiment_design.md#243', 'benchmarking_rag_load_testing_and_experiment_design.md#1', 'benchmarking_rag_load_testing_and_experiment_design.md#237', 'benchmarking_rag_load_testing_and_experiment_design.md#244', 'benchmarking_rag_load_testing_and_experiment_design.md#239', 'benchmarking_rag_load_testing_and_experiment_design.md#225', 'benchmarking_rag_load_testing_and_experiment_design.md#2', 'benchmarking_rag_load_testing_and_experiment_design.md#224', 'benchmarking_rag_load_testing_and_experiment_design.md#218', 'rag_hallucinations_and_grounding_methods.md#15', 'benchmarking_rag_load_testing_and_experiment_design.md#214', 'benchmarking_rag_load_testing_and_experiment_design.md#191', 'benchmarking_rag_load_testing_and_experiment_design.md#223', 'benchmarking_rag_load_testing_and_experiment_design.md#217', 'benchmarking_rag_load_testing_and_experiment_design.md#3']",0.0,0.0,0.0,0.0,0.0,0.0,26.411083061248064,8.57720896601677,34.988374914973974
q007,What is Recall@k in information retrieval and how is it interpreted?,['retrieval_recall_at_k_mrr_ndcg_explained.md#0'],"['retrieval_recall_at_k_mrr_ndcg_explained.md#318', 'retrieval_recall_at_k_mrr_ndcg_explained.md#310', 'retrieval_recall_at_k_mrr_ndcg_explained.md#314', 'retrieval_recall_at_k_mrr_ndcg_explained.md#317', 'retrieval_recall_at_k_mrr_ndcg_explained.md#316', 'retrieval_recall_at_k_mrr_ndcg_explained.md#319', 'retrieval_recall_at_k_mrr_ndcg_explained.md#332', 'retrieval_recall_at_k_mrr_ndcg_explained.md#311', 'retrieval_recall_at_k_mrr_ndcg_explained.md#324', 'retrieval_recall_at_k_mrr_ndcg_explained.md#315', 'retrieval_recall_at_k_mrr_ndcg_explained.md#320', 'retrieval_recall_at_k_mrr_ndcg_explained.md#321', 'retrieval_recall_at_k_mrr_ndcg_explained.md#313', 'retrieval_recall_at_k_mrr_ndcg_explained.md#307', 'retrieval_recall_at_k_mrr_ndcg_explained.md#309', 'retrieval_recall_at_k_mrr_ndcg_explained.md#305', 'retrieval_recall_at_k_mrr_ndcg_explained.md#322', 'retrieval_recall_at_k_mrr_ndcg_explained.md#325', 'retrieval_recall_at_k_mrr_ndcg_explained.md#308', 'retrieval_recall_at_k_mrr_ndcg_explained.md#312', 'retrieval_recall_at_k_mrr_ndcg_explained.md#306', 'retrieval_recall_at_k_mrr_ndcg_explained.md#304', 'retrieval_recall_at_k_mrr_ndcg_explained.md#303', 'retrieval_recall_at_k_mrr_ndcg_explained.md#302', 'benchmarking_rag_load_testing_and_experiment_design.md#623', 'benchmarking_rag_load_testing_and_experiment_design.md#622', 'retrieval_recall_at_k_mrr_ndcg_explained.md#326', 'benchmarking_rag_load_testing_and_experiment_design.md#624', 'benchmarking_rag_load_testing_and_experiment_design.md#625', 'benchmarking_rag_load_testing_and_experiment_design.md#621']",0.0,0.0,0.0,0.0,0.0,0.0,8.178041083738208,5.522708874195814,13.700834009796381
q008,What is Mean Reciprocal Rank (MRR) and what does it measure?,['retrieval_recall_at_k_mrr_ndcg_explained.md#0'],"['rag_evaluation_overview_metrics_and_protocols.md#193', 'rag_evaluation_overview_metrics_and_protocols.md#194', 'rag_evaluation_overview_metrics_and_protocols.md#187', 'rag_evaluation_overview_metrics_and_protocols.md#188', 'rag_evaluation_overview_metrics_and_protocols.md#185', 'rag_evaluation_overview_metrics_and_protocols.md#182', 'rag_evaluation_overview_metrics_and_protocols.md#143', 'rag_evaluation_overview_metrics_and_protocols.md#145', 'rag_evaluation_overview_metrics_and_protocols.md#142', 'rag_evaluation_overview_metrics_and_protocols.md#152', 'rag_evaluation_overview_metrics_and_protocols.md#148', 'rag_evaluation_overview_metrics_and_protocols.md#151', 'rag_evaluation_overview_metrics_and_protocols.md#150', 'rag_evaluation_overview_metrics_and_protocols.md#192', 'rag_evaluation_overview_metrics_and_protocols.md#147', 'rag_evaluation_overview_metrics_and_protocols.md#144', 'rag_evaluation_overview_metrics_and_protocols.md#191', 'rag_evaluation_overview_metrics_and_protocols.md#156', 'rag_evaluation_overview_metrics_and_protocols.md#153', 'rag_evaluation_overview_metrics_and_protocols.md#146', 'rag_evaluation_overview_metrics_and_protocols.md#158', 'rag_evaluation_overview_metrics_and_protocols.md#155', 'rag_evaluation_overview_metrics_and_protocols.md#154', 'retrieval_recall_at_k_mrr_ndcg_explained.md#168', 'rag_evaluation_overview_metrics_and_protocols.md#157', 'rag_evaluation_overview_metrics_and_protocols.md#169', 'rag_evaluation_overview_metrics_and_protocols.md#184', 'rag_evaluation_overview_metrics_and_protocols.md#186', 'rag_evaluation_overview_metrics_and_protocols.md#189', 'rag_evaluation_overview_metrics_and_protocols.md#122']",0.0,0.0,0.0,0.0,0.0,0.0,25.927833979949355,8.172916015610099,34.10079097375274
q009,What is nDCG and when is it more informative than Recall@k?,['retrieval_recall_at_k_mrr_ndcg_explained.md#0'],"['retrieval_recall_at_k_mrr_ndcg_explained.md#257', 'retrieval_recall_at_k_mrr_ndcg_explained.md#256', 'retrieval_recall_at_k_mrr_ndcg_explained.md#255', 'retrieval_recall_at_k_mrr_ndcg_explained.md#187', 'retrieval_recall_at_k_mrr_ndcg_explained.md#197', 'retrieval_recall_at_k_mrr_ndcg_explained.md#186', 'retrieval_recall_at_k_mrr_ndcg_explained.md#251', 'retrieval_recall_at_k_mrr_ndcg_explained.md#254', 'retrieval_recall_at_k_mrr_ndcg_explained.md#165', 'retrieval_recall_at_k_mrr_ndcg_explained.md#258', 'retrieval_recall_at_k_mrr_ndcg_explained.md#171', 'retrieval_recall_at_k_mrr_ndcg_explained.md#184', 'retrieval_recall_at_k_mrr_ndcg_explained.md#196', 'retrieval_recall_at_k_mrr_ndcg_explained.md#241', 'retrieval_recall_at_k_mrr_ndcg_explained.md#173', 'retrieval_recall_at_k_mrr_ndcg_explained.md#253', 'retrieval_recall_at_k_mrr_ndcg_explained.md#198', 'retrieval_recall_at_k_mrr_ndcg_explained.md#252', 'retrieval_recall_at_k_mrr_ndcg_explained.md#170', 'retrieval_recall_at_k_mrr_ndcg_explained.md#174', 'retrieval_recall_at_k_mrr_ndcg_explained.md#172', 'retrieval_recall_at_k_mrr_ndcg_explained.md#185', 'retrieval_recall_at_k_mrr_ndcg_explained.md#195', 'retrieval_recall_at_k_mrr_ndcg_explained.md#169', 'retrieval_recall_at_k_mrr_ndcg_explained.md#167', 'retrieval_recall_at_k_mrr_ndcg_explained.md#188', 'retrieval_recall_at_k_mrr_ndcg_explained.md#242', 'retrieval_recall_at_k_mrr_ndcg_explained.md#181', 'retrieval_recall_at_k_mrr_ndcg_explained.md#178', 'retrieval_recall_at_k_mrr_ndcg_explained.md#175']",0.0,0.0,0.0,0.0,0.0,0.0,22.226665867492557,7.875042036175728,30.101750046014786
q010,What is hybrid search and why combine vector search with BM25?,['retrieval_hybrid_search_vector_plus_bm25.md#0'],"['weaviate_schema_modules_hybrid_search.md#515', 'weaviate_schema_modules_hybrid_search.md#514', 'weaviate_schema_modules_hybrid_search.md#493', 'retrieval_hybrid_search_vector_plus_bm25.md#146', 'retrieval_hybrid_search_vector_plus_bm25.md#147', 'weaviate_schema_modules_hybrid_search.md#492', 'weaviate_schema_modules_hybrid_search.md#513', 'retrieval_hybrid_search_vector_plus_bm25.md#142', 'retrieval_hybrid_search_vector_plus_bm25.md#151', 'retrieval_hybrid_search_vector_plus_bm25.md#169', 'retrieval_hybrid_search_vector_plus_bm25.md#149', 'retrieval_hybrid_search_vector_plus_bm25.md#154', 'retrieval_hybrid_search_vector_plus_bm25.md#141', 'retrieval_hybrid_search_vector_plus_bm25.md#150', 'weaviate_schema_modules_hybrid_search.md#494', 'weaviate_schema_modules_hybrid_search.md#496', 'weaviate_schema_modules_hybrid_search.md#497', 'weaviate_schema_modules_hybrid_search.md#491', 'retrieval_hybrid_search_vector_plus_bm25.md#113', 'weaviate_schema_modules_hybrid_search.md#490', 'retrieval_hybrid_search_vector_plus_bm25.md#143', 'retrieval_hybrid_search_vector_plus_bm25.md#168', 'retrieval_hybrid_search_vector_plus_bm25.md#152', 'weaviate_schema_modules_hybrid_search.md#498', 'weaviate_schema_modules_hybrid_search.md#489', 'weaviate_schema_modules_hybrid_search.md#495', 'retrieval_hybrid_search_vector_plus_bm25.md#139', 'retrieval_hybrid_search_vector_plus_bm25.md#153', 'retrieval_hybrid_search_vector_plus_bm25.md#114', 'weaviate_schema_modules_hybrid_search.md#500']",0.0,0.0,0.0,0.0,0.0,0.0,6.53412495739758,4.3547500390559435,10.888917138800025
